Item,Subsystem,Manufacturer,Part_Number,Product_Name,Quantity,Unit_Price_USD,Extended_Price_USD,Supplier,Availability,Key_Specification,Manufacturer_URL,Datasheet_URL,Purchase_URL,Access_Date,Selection_Status,Notes
1,SDR,Ettus Research,789155-01,USRP B206mini-i with enclosure and USB cable,1,1820.00,1820.00,Ettus Research,Orderable,"70 MHz-6 GHz; 12-bit AD9364; 56 MHz BW; USB 3 Type-C; 10 MHz/PPS",https://www.ettus.com/all-products/USRP-B206mini-i/,https://www.ettus.com/wp-content/uploads/2025/10/USRP_B2xxmini_Data_Sheet_789742-01_Rev1.pdf,https://www.ettus.com/all-products/USRP-B206mini-i/,2026-08-25,BASELINE,"Current successor to B200mini-i; not a calibrated field meter"
2,Edge compute,NVIDIA,945-13766-0000-000,Jetson Orin Nano Super Developer Kit 8GB,1,249.00,249.00,NVIDIA partners,Available,"6-core Cortex-A78AE; 1024 CUDA cores; 67 sparse INT8 TOPS; 7/15/25 W",https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,https://developer.nvidia.com/downloads/jetson-orin-nano-developer-kit-carrier-board-sp-199-13766-0000-000-rj4,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,2026-08-25,BASELINE,"Use 15 W mode; kit includes carrier and thermal solution"
3,Display,Waveshare,11199,7inch HDMI LCD (C),1,43.99,43.99,Waveshare,Available,"7-inch IPS 1024x600; HDMI; USB 5-point capacitive touch",https://www.waveshare.com/7inch-hdmi-lcd-c.htm,https://www.waveshare.com/wiki/7inch_HDMI_LCD_(C),https://www.waveshare.com/7inch-hdmi-lcd-c.htm,2026-08-25,BASELINE,"Jetson uses DisplayPort-to-HDMI adapter; Linux USB HID touch to verify on bench"
4,Storage,Multiple,NOT_APPLICABLE,500GB-or-larger M.2 NVMe SSD,1,60.00,60.00,Authorized distributor,Engineering allowance,"M.2 2280 NVMe; >=500 GB; sustained logging qualification required",NOT VERIFIED,NOT VERIFIED,NOT VERIFIED,2026-08-25,BASELINE,"PRICE NOT VERIFIED; procurement ceiling/allowance; exact MPN selected after Jetson compatibility check"
5,RF filter B1,Mini-Circuits,ZX75BP-915-S+,902.5-927.5 MHz connectorized band-pass filter,1,112.40,112.40,Mini-Circuits,33 in stock,"50 ohm SMA; exact B1 coverage except 902.0-902.5 and 927.5-928.0 MHz edge gaps",https://www.minicircuits.com/WebStore/dashboard.html?model=ZX75BP-915-S%2B,https://www.minicircuits.com/WebStore/dashboardPdf?model=ZX75BP-915-S%2B,https://www.minicircuits.com/WebStore/dashboard.html?model=ZX75BP-915-S%2B,2026-08-25,BASELINE,"Edge gaps require bypass scan or revised/custom filter if full 902-928 claim is mandatory"
6,RF filter B2,Mini-Circuits,VBF-2450+,2400-2550 MHz connectorized band-pass filter,1,47.36,47.36,Mini-Circuits,145 in stock,"50 ohm SMA; covers 2.400-2.4835 GHz; about 1.7-2.1 dB typical IL",https://www.minicircuits.com/WebStore/dashboard.html?model=VBF-2450%2B,https://www.minicircuits.com/WebStore/dashboardPdf?model=VBF-2450%2B,https://www.minicircuits.com/WebStore/dashboard.html?model=VBF-2450%2B,2026-08-25,BASELINE,"Insertion loss calibrated per unit"
7,RF filter B3,Mini-Circuits,BFCN-3600+,3300-3900 MHz LTCC band-pass filter,20,5.78,115.60,Mini-Circuits,More than 1000 in stock,"50 ohm; covers 3.300-3.700 GHz; SMT FV1206",https://www.minicircuits.com/WebStore/dashboard.html?model=BFCN-3600%2B,https://www.minicircuits.com/pdfs/BFCN-3600.pdf,https://www.minicircuits.com/WebStore/dashboard.html?model=BFCN-3600%2B,2026-08-25,BASELINE,"Manufacturer minimum price tier shown at qty 20; one fitted and 19 spares; mounted on characterized RF PCB"
8,RF filter B4,Mini-Circuits,VBFZ-5500-S+,4900-6200 MHz connectorized band-pass filter,1,54.13,54.13,Mini-Circuits,More than 100 in stock,"50 ohm SMA; covers 5.150-5.850 GHz and most optional 6 GHz extension only to 6.2 GHz",https://www.minicircuits.com/WebStore/dashboard.html?model=VBFZ-5500-S%2B,https://www.minicircuits.com/WebStore/dashboardPdf?model=VBFZ-5500-S%2B,https://www.minicircuits.com/WebStore/dashboard.html?model=VBFZ-5500-S%2B,2026-08-25,BASELINE,"Does not cover 6.2-7.125 GHz; optional extension rejected from baseline"
9,RF switching,pSemi,PE42442A-Z,Absorptive SP4T RF switch IC,4,5.59,22.36,DigiKey,In stock,"30 MHz-6 GHz; 0.85-2.35 dB IL; 32-67 dB isolation; 2.3-5.5 V",https://psemi.com/products/rf-switches/high-isolation-rf-switches/pe42442/,https://psemi.com/pdf/datasheets/pe42442ds.pdf,https://www.digikey.com/en/products/detail/psemi/PE42442A-Z/4747403,2026-08-25,BASELINE,"Two fitted plus two spares; separate axis and filter SP4T stages; PCB loss calibrated"
10,Antenna,Taoglas,TG.66.A113,Apex wideband hinged monopole antenna,3,19.41,58.23,DigiKey,2237 immediate,"600-6000 MHz; 50 ohm; SMA male; 70.3 x 9.7 mm",https://www.taoglas.com/product/apex-tg-66-miniature-5g-4g-terminal/,https://www.taoglas.com/datasheets/TG.66.A113.pdf,https://www.digikey.com/en/product-highlight/t/taoglas/tg-66-5g-4g-antenna,2026-08-25,BASELINE,"Three orthogonal elements are not inherently isotropic; antenna factor and coupling are TBD by calibration"
11,RF protection,Mini-Circuits,VAT-10A+,10 dB fixed SMA attenuator,1,21.07,21.07,Mini-Circuits,More than 1000 in stock,"DC-6 GHz; 50 ohm; 1 W; removable overload-margin pad",https://www.minicircuits.com/WebStore/dashboard.html?model=VAT-10A%2B,https://www.minicircuits.com/WebStore/dashboardPdf?model=VAT-10A%2B,https://www.minicircuits.com/WebStore/dashboard.html?model=VAT-10A%2B,2026-08-25,BASELINE,"Normally fitted for screening; bypass only under controlled low-field validation; no LNA in baseline"
12,Battery,Bioenno Power,BLF-1215A,12 V 15 Ah LiFePO4 battery with internal PCM/BMS,1,149.99,149.99,Bioenno Power,Available,"Nominal 180 Wh; integrated protection; Anderson Powerpole lead",https://www.bioennopower.com/products/12v-15ah-lifepo4-battery-pvc,https://cdn.shopify.com/s/files/1/0219/0154/files/BLF-1215A_User_Manual.pdf,https://www.bioennopower.com/products/12v-15ah-lifepo4-battery-pvc,2026-08-25,BASELINE,"Assume 80% usable system energy (144 Wh) after reserve and conversion losses"
13,Charger,Bioenno Power,BPC-1504DC,14.6 V 4 A LiFePO4 charger,1,24.99,24.99,Bioenno Power,Available,"14.6 VDC 4 A; AC-to-DC; matched to 12 V LiFePO4",https://www.bioennopower.com/products/lithium-12v-4amp-lifepo4-battery-charger,NOT VERIFIED,https://www.bioennopower.com/products/lithium-12v-4amp-lifepo4-battery-charger,2026-08-25,BASELINE,"Charge only with instrument switched off unless power-path isolation is validated"
14,DC-DC,Pololu,2866,D24V90F5 5 V 9 A step-down regulator,1,36.82,36.82,Pololu,Backorder allowed/rationed,"Up to 38 V input; 5 V about 9 A; 80-95% typical efficiency; protection",https://www.pololu.com/product/2866,https://www.pololu.com/file/0J1534/D24V90F5.pdf,https://www.pololu.com/product/2866,2026-08-25,BASELINE,"Powers display/switch logic/USB auxiliaries; availability risk noted"
